"Species","Import_quantity","Import_live_weight","Export_quantity","Export_live_weight","Production","select","Production_dwf","Production_domestic","apparent_consumption","consumer_dest_indicator","production_orig_indicator"
"Alaska pollock",5148.24975,8357.7301621,2521.86478,7089.9613676,0,1,0,0,1267.7687945,84.8311829897431,100
"Anchovy",236.96893,258.7796616,215.66494,236.6118772,6378.487,1,1.751,6376.736,6398.9037844,3.56584008337563,3.89991787823769
"Atlantic salmon",413.92934,473.9563876,3.55111,4.3103336,0,0,0,0,469.646054,0.909436756792431,100
"Blue whiting",449.00845,538.79014,1.05151,1.261812,0,0,0,0,537.528328,0.23419359530223,100
"Bream",0,0,0,0,8932.509,1,0,8932.509,8932.509,0,0
"Carp",5.18637,5.18637,370.92488,370.92488,143140.382,1,0,143140.382,142774.64349,0.25912424968773,0.00362314394993659
"Catfish",490.25547,1029.9978368,72.50263,127.3713896,8232.548,1,2.196,8230.352,9132.9784472,1.37544900403044,11.1226665833602
"Clams, cockles, and arkshells",66.57652,144.1355896,1194.77616,1491.5613036,40432.855,1,0,40432.855,39085.429286,3.67587956111829,0.355215080038347
"Cod",1490.87175,2245.5699318,1101.13479,3054.9795573,0,0,0,0,0,100,100
"Crab",525.56875,833.3178196,598.36758,1270.9270926,14252.061,1,0.459,14251.602,13813.992727,8.4251498039033,5.52417798414322
"Crayfish",5.47953,13.038122,172.9749,414.5241122,7993.84,1,0,7993.84,7592.3540098,5.17710031155636,0.162836523815393
"Croakers",10.33149,15.8781113,303.39892,422.6313592,8591.848,1,0.932,8590.916,8184.1627521,4.91043882001453,0.184483456844325
"Cuttlefish and squid",2464.69233,7082.8726434,3448.1702,4622.4086533,7869.834,1,3789.064,4080.77,6541.2339901,41.4059174138182,63.4458918979051
"Eels",14.95493,15.613362,340.31048,515.7221344,7187.505,1,0,7187.505,6687.3962276,7.15970651156711,0.216758370685232
"Flatfish",1106.98756,1301.580773,716.82211,1753.9951809,1011.733,1,4.541,1007.192,554.7775921,75.9708881450847,56.3754384243165
"Haddock",356.59856,500.055646,220.92752,675.1451312,0,0,0,0,0,100,100
"Hairtails",518.11161,731.7120769,74.09518,107.0913598,8294.069,1,4.393,8289.676,8914.2967171,1.18708295095094,8.11085911239767
"Herring",1288.65063,1289.5890183,589.35606,600.8676132,115.646,1,0,115.646,804.3674051,42.7592257078041,91.7703445691309
"Mackerel",874.26274,889.4805866,2372.96961,2812.1415752,3728.004,1,14.666,3713.338,1790.6770114,61.0960767253977,19.3246935516753
"Mussels",31.51821,123.0912419,67.47481,203.1393313,7216.266,1,0,7216.266,7136.2179106,2.76780819634025,1.67713926224055
"Nile perch and snakeheads ",0,0,0,0,3696.796,1,0,3696.796,3696.796,0,0
"Octopus",57.79577,78.0379741,564.858,732.6231993,945.598,1,4.024,941.574,286.9887748,71.8531380476066,7.65369337378401
"Oysters",20.49395,20.5319516,73.60006,95.9171044,36266.879,1,0,36266.879,36191.4938472,0.264326117197882,0.0565814729173857
"Pacific salmon",1281.45934,1670.4437568,765.45132,1351.9976114,0,0,0,0,318.4461454,80.9364341598646,100
"Sardines",141.77323,196.0863183,836.04523,1179.4095542,1058.659,1,24.683,1033.976,50.6527641,95.8820977322511,15.9411694336755
"Scad",0,0,0,0,4394.717,1,0,4394.717,4394.717,0,0
"Scallops",349.73251,2072.9893098,257.67053,1583.8564273,13789.746,1,0,13789.746,14278.8788825,9.98476237778169,13.0682966670906
"Seerfishes",0,0,0,0,3208.964,1,0,3208.964,3208.964,0,0
"Shrimps and prawns",1512.98399,1744.9998072,1771.09553,2427.2096436,31456.363,1,0.282,31456.081,30773.8711636,7.31063442691791,5.25585241436351
"Tilapia",1.16415,2.471075,4289.64505,8441.159543,12488.055,1,0,12488.055,4049.366532,67.580496548461,0.0197835942630623
"Tuna",696.33349,1629.1799596,1510.43577,2531.5454922,813.146,1,811.867,1.279,0,100,99.9215558298803
